Technique,K-nn score,NN score,SVM Score,Average score,Percentage,Total number of features,Number of selected features
NO,0.5,0.63,0.153,0.428,1,1440,1440
univariate,0.483,0.507,0.243,0.411,0.1,1440,144
univariate,0.407,0.53,0.16,0.366,0.2,1440,288
univariate,0.437,0.56,0.157,0.385,0.3,1440,432
univariate,0.503,0.64,0.207,0.45,0.4,1440,576
univariate,0.49,0.623,0.103,0.405,0.5,1440,720
univariate,0.53,0.657,0.13,0.439,0.6,1440,864
univariate,0.517,0.653,0.223,0.464,0.7,1440,1008
univariate,0.457,0.66,0.2,0.439,0.8,1440,1152
univariate,0.413,0.683,0.22,0.439,0.9,1440,1296
univariate,0.477,0.63,0.157,0.421,1.0,1440,1440
tree_based,0.493,0.58,0.157,0.41,0.1,1440,144
tree_based,0.523,0.637,0.167,0.442,0.2,1440,285
tree_based,0.507,0.647,0.27,0.475,0.29,1440,424
tree_based,0.47,0.673,0.213,0.452,0.39,1440,565
tree_based,0.47,0.653,0.247,0.457,0.49,1440,712
tree_based,0.52,0.613,0.193,0.442,0.6,1440,862
tree_based,0.427,0.63,0.177,0.411,0.69,1440,995
tree_based,0.52,0.663,0.207,0.463,0.8,1440,1150
tree_based,0.46,0.68,0.17,0.437,0.89,1440,1276
tree_based,0.473,0.657,0.247,0.459,0.91,1440,1317
l1,0.517,0.62,0.23,0.456,0.1,1440,142
l1,0.557,0.713,0.22,0.497,0.18,1440,266
l1,0.49,0.643,0.23,0.454,0.3,1440,430
l1,0.48,0.683,0.21,0.458,0.36,1440,520
l1,0.45,0.69,0.17,0.437,0.48,1440,686
l1,0.447,0.62,0.18,0.416,0.59,1440,852
l1,0.467,0.637,0.193,0.432,0.68,1440,985
l1,0.457,0.67,0.2,0.442,0.69,1440,997
l1,0.4,0.663,0.223,0.429,0.69,1440,995
l1,0.46,0.62,0.223,0.434,0.69,1440,994
