@RELATION ISMIRgenre.rh

@ATTRIBUTE term0	REAL
@ATTRIBUTE term1	REAL
@ATTRIBUTE term2	REAL
@ATTRIBUTE term3	REAL
@ATTRIBUTE term4	REAL
@ATTRIBUTE term5	REAL
@ATTRIBUTE term6	REAL
@ATTRIBUTE term7	REAL
@ATTRIBUTE term8	REAL
@ATTRIBUTE term9	REAL
@ATTRIBUTE term10	REAL
@ATTRIBUTE term11	REAL
@ATTRIBUTE term12	REAL
@ATTRIBUTE term13	REAL
@ATTRIBUTE term14	REAL
@ATTRIBUTE term15	REAL
@ATTRIBUTE term16	REAL
@ATTRIBUTE term17	REAL
@ATTRIBUTE term18	REAL
@ATTRIBUTE term19	REAL
@ATTRIBUTE term20	REAL
@ATTRIBUTE term21	REAL
@ATTRIBUTE term22	REAL
@ATTRIBUTE term23	REAL
@ATTRIBUTE term24	REAL
@ATTRIBUTE term25	REAL
@ATTRIBUTE term26	REAL
@ATTRIBUTE term27	REAL
@ATTRIBUTE term28	REAL
@ATTRIBUTE term29	REAL
@ATTRIBUTE term30	REAL
@ATTRIBUTE term31	REAL
@ATTRIBUTE term32	REAL
@ATTRIBUTE term33	REAL
@ATTRIBUTE term34	REAL
@ATTRIBUTE term35	REAL
@ATTRIBUTE term36	REAL
@ATTRIBUTE term37	REAL
@ATTRIBUTE term38	REAL
@ATTRIBUTE term39	REAL
@ATTRIBUTE term40	REAL
@ATTRIBUTE term41	REAL
@ATTRIBUTE term42	REAL
@ATTRIBUTE term43	REAL
@ATTRIBUTE term44	REAL
@ATTRIBUTE term45	REAL
@ATTRIBUTE term46	REAL
@ATTRIBUTE term47	REAL
@ATTRIBUTE term48	REAL
@ATTRIBUTE term49	REAL
@ATTRIBUTE term50	REAL
@ATTRIBUTE term51	REAL
@ATTRIBUTE term52	REAL
@ATTRIBUTE term53	REAL
@ATTRIBUTE term54	REAL
@ATTRIBUTE term55	REAL
@ATTRIBUTE term56	REAL
@ATTRIBUTE term57	REAL
@ATTRIBUTE term58	REAL
@ATTRIBUTE term59	REAL
@ATTRIBUTE class	{classical,electronic,jazz_blues,metal_punk,rock_pop,world}

@DATA
18.653206,11.426177,8.703071,6.027307,6.366470,4.316479,3.867782,4.062532,3.759137,3.566734,3.507073,3.206191,2.575373,2.603398,2.230693,2.618684,2.548803,1.956884,2.059761,1.971358,1.772095,1.979454,1.547043,1.881080,1.828999,1.521778,1.735586,1.564450,1.504489,1.470913,1.323028,1.495649,1.380607,1.254160,1.192962,1.300128,1.122444,1.422973,1.133959,1.208144,1.071305,1.136458,1.190964,1.176023,1.106166,1.159500,1.049926,1.049990,1.038050,0.814778,0.973247,1.025698,0.874805,0.836380,0.817494,0.914660,0.828270,0.839882,0.902402,0.800110,classical
13.185247,9.085405,10.203989,7.315091,5.956577,8.860331,6.459256,4.917789,4.504855,4.558582,4.984741,5.573632,3.921013,3.591896,3.191135,2.981488,2.822007,3.083990,2.304694,2.368521,2.944298,2.361196,2.686630,4.053778,2.925113,2.336114,2.352489,1.836774,2.111321,2.153121,2.057139,2.072086,1.829602,1.681616,1.727705,1.801319,1.757730,1.861595,1.857492,1.778836,1.660568,1.760113,1.730344,1.710054,1.775589,1.955691,1.608486,2.014522,1.796771,1.560914,1.694954,1.667447,1.444234,1.374061,1.315622,1.235787,1.432653,1.236110,1.272172,1.239467,classical
6.784220,5.606210,3.580066,3.112362,2.885317,2.880736,2.686347,2.118726,2.178008,2.117732,1.576289,1.566351,1.631218,1.944987,1.625711,1.329773,1.354150,1.148128,1.110002,1.097491,0.866160,0.813230,0.837074,1.013570,0.853247,0.750148,0.752322,0.754389,0.861836,0.867334,0.655046,0.806184,0.837559,0.709096,0.764241,0.730745,0.763772,0.689150,0.574442,0.522746,0.686490,0.570988,0.565246,0.614704,0.554174,0.562182,0.500626,0.579347,0.514761,0.448914,0.416930,0.499224,0.497847,0.468099,0.609109,0.469912,0.458459,0.493717,0.473328,0.457213,classical
11.724394,8.480006,7.423684,6.251351,6.751813,5.851645,5.868541,4.235470,4.501030,4.151809,4.467948,4.995003,5.910007,4.754663,3.392960,3.636723,3.434909,2.738464,3.060884,3.056218,2.873165,3.085911,2.549826,2.911881,2.642216,3.120094,3.222127,2.900335,2.680122,2.371517,2.365269,2.101610,2.270406,2.160024,1.992701,2.070260,2.471453,2.089428,1.938022,2.704963,3.518815,2.600554,2.534255,2.334267,1.901518,1.876572,1.804755,1.735646,1.347292,1.563543,1.425030,1.320717,1.487557,1.373561,1.428256,1.409242,1.410215,1.351926,1.123053,1.291172,classical
16.110191,10.377990,10.056519,6.308801,6.343452,4.619515,4.708754,4.064319,3.455775,2.898780,2.926333,2.815552,2.454830,2.157832,2.032997,1.887089,2.075873,1.801945,1.775168,1.814696,1.555331,1.673323,1.588229,1.451089,1.540236,1.657904,1.468304,1.441006,1.363424,1.518445,1.445949,1.387864,1.287696,1.315398,1.346044,1.291987,1.322490,1.181388,1.285519,1.204829,1.178785,1.235449,1.115924,1.191730,0.973963,0.924228,0.881206,0.912053,0.972776,0.822954,0.944753,0.924335,0.860188,0.855326,0.782969,0.893354,0.817797,0.807963,0.780202,0.808365,classical
18.255393,13.975776,11.741160,10.152055,6.889927,5.824443,5.169035,4.183961,4.185336,3.950762,3.904199,3.915069,3.356561,2.591347,2.897730,2.539044,2.548066,2.543865,2.676401,2.666356,2.277719,1.885282,1.507057,2.232664,1.668449,1.763520,1.697008,1.838048,1.591110,1.531594,1.347797,1.714402,1.347673,1.313314,1.352583,1.682073,1.391100,1.321635,1.316549,1.380191,1.320214,1.248320,1.077475,1.193859,1.138383,1.231184,1.282739,1.171298,1.333974,1.214873,1.099240,0.992545,1.053636,1.204270,1.013103,1.014183,0.866726,0.935942,0.972790,0.947296,classical
16.557954,15.090654,9.555457,8.628059,7.779753,7.700435,6.806893,7.480917,4.740821,5.467187,6.733855,5.510215,5.645214,5.352735,4.089293,3.946102,3.530153,3.494266,2.889887,3.204218,2.778898,2.752311,2.689359,4.042453,5.407000,3.647404,3.103051,2.854342,2.439673,2.843489,2.373374,1.885620,2.234172,2.092428,2.277643,2.170091,1.905237,2.199460,2.199617,1.966478,2.404372,1.762668,1.928983,2.054256,1.967433,1.776879,1.914296,2.218473,1.953315,2.649606,2.402374,1.971854,1.906784,2.028619,1.709251,1.717582,1.572737,1.444233,1.742953,1.645270,classical
18.846155,15.291033,11.477157,8.806338,8.046059,5.286586,5.322899,4.444693,4.451208,3.175797,3.408159,3.239631,3.525693,3.414571,2.471678,2.414986,1.893893,2.615503,2.201990,2.207044,2.146870,2.366717,1.531797,2.168467,1.749275,1.812770,1.835146,1.415204,1.969573,1.973536,2.100669,1.511260,1.687290,1.949371,1.451233,1.662003,1.660300,1.461295,1.623610,1.405560,1.522386,1.349401,1.211813,1.266792,1.116571,1.132800,1.320953,1.073425,1.270090,1.141829,1.204791,1.085189,1.141277,0.989195,1.070840,1.063191,1.033607,1.208366,1.229251,1.158209,classical
9.850885,6.214559,5.596839,4.477598,5.332018,4.003681,2.756996,3.480091,3.159900,3.051712,3.326225,2.188733,1.994468,1.894389,1.882277,2.097830,1.714757,1.850135,1.533326,1.590782,2.097412,1.873372,1.518973,1.434010,1.276493,1.406649,1.277451,1.126202,1.112952,1.198449,1.113529,1.330758,1.044096,1.166061,0.981802,1.121798,1.212876,0.957349,1.238686,1.318266,0.976681,1.315066,1.114619,1.180658,1.192358,0.985276,1.083853,1.059103,0.804175,0.807795,0.721571,0.745868,0.737019,0.613129,0.764953,0.739287,0.782742,0.829187,0.701345,0.728471,classical
22.910723,14.604069,7.972869,8.683812,5.159870,4.787092,4.110716,5.124968,3.233776,3.380684,2.679458,2.352686,2.229472,1.969622,2.562125,2.753353,2.149923,2.179415,1.938296,1.931937,1.754723,1.581048,1.602522,1.640454,1.669626,1.609586,1.434689,1.771008,1.322671,1.386303,1.235784,1.322571,1.378016,1.427280,1.435310,1.462669,1.325428,1.249867,1.277653,1.284399,1.125655,1.269366,1.280145,1.231623,1.156252,1.238373,1.193495,1.192701,1.082332,0.992884,1.106810,0.937353,0.948881,0.980255,0.951368,1.042916,1.000853,0.960681,0.974101,0.876206,classical
