Technique,K-nn score,NN score,SVM Score,Average score,Percentage,Total number of features,Number of selected features
NO,0.635,0.705,0.491,0.61,1,1440,1440
univariate,0.683,0.658,0.598,0.646,0.1,1440,144
univariate,0.671,0.664,0.546,0.627,0.2,1440,288
univariate,0.648,0.689,0.507,0.615,0.3,1440,432
univariate,0.626,0.692,0.509,0.609,0.4,1440,576
univariate,0.669,0.669,0.516,0.618,0.5,1440,720
univariate,0.683,0.701,0.527,0.637,0.6,1440,864
univariate,0.664,0.689,0.507,0.62,0.7,1440,1008
univariate,0.703,0.726,0.521,0.65,0.8,1440,1152
univariate,0.664,0.719,0.505,0.629,0.9,1440,1296
univariate,0.655,0.685,0.489,0.61,1.0,1440,1440
tree_based,0.689,0.648,0.534,0.624,0.1,1440,144
tree_based,0.703,0.653,0.546,0.634,0.2,1440,286
tree_based,0.685,0.696,0.566,0.649,0.3,1440,429
tree_based,0.671,0.712,0.557,0.647,0.39,1440,557
tree_based,0.701,0.731,0.568,0.667,0.5,1440,717
tree_based,0.669,0.699,0.509,0.626,0.59,1440,849
tree_based,0.694,0.715,0.555,0.655,0.69,1440,989
tree_based,0.658,0.694,0.53,0.627,0.8,1440,1151
tree_based,0.705,0.719,0.534,0.653,0.88,1440,1270
tree_based,0.696,0.733,0.514,0.648,0.93,1440,1335
l1,0.678,0.678,0.605,0.654,0.09,1440,135
l1,0.71,0.737,0.616,0.688,0.19,1440,278
l1,0.726,0.737,0.598,0.687,0.29,1440,412
l1,0.674,0.715,0.575,0.655,0.39,1440,562
l1,0.692,0.731,0.557,0.66,0.5,1440,719
l1,0.632,0.717,0.518,0.622,0.6,1440,859
l1,0.703,0.719,0.539,0.654,0.63,1440,903
l1,0.662,0.701,0.537,0.633,0.62,1440,898
l1,0.685,0.724,0.582,0.664,0.65,1440,930
l1,0.671,0.747,0.555,0.658,0.64,1440,923
