@RELATION ISMIRgenre.ssd

@ATTRIBUTE term0	REAL
@ATTRIBUTE term1	REAL
@ATTRIBUTE term2	REAL
@ATTRIBUTE term3	REAL
@ATTRIBUTE term4	REAL
@ATTRIBUTE term5	REAL
@ATTRIBUTE term6	REAL
@ATTRIBUTE term7	REAL
@ATTRIBUTE term8	REAL
@ATTRIBUTE term9	REAL
@ATTRIBUTE term10	REAL
@ATTRIBUTE term11	REAL
@ATTRIBUTE term12	REAL
@ATTRIBUTE term13	REAL
@ATTRIBUTE term14	REAL
@ATTRIBUTE term15	REAL
@ATTRIBUTE term16	REAL
@ATTRIBUTE term17	REAL
@ATTRIBUTE term18	REAL
@ATTRIBUTE term19	REAL
@ATTRIBUTE term20	REAL
@ATTRIBUTE term21	REAL
@ATTRIBUTE term22	REAL
@ATTRIBUTE term23	REAL
@ATTRIBUTE term24	REAL
@ATTRIBUTE term25	REAL
@ATTRIBUTE term26	REAL
@ATTRIBUTE term27	REAL
@ATTRIBUTE term28	REAL
@ATTRIBUTE term29	REAL
@ATTRIBUTE term30	REAL
@ATTRIBUTE term31	REAL
@ATTRIBUTE term32	REAL
@ATTRIBUTE term33	REAL
@ATTRIBUTE term34	REAL
@ATTRIBUTE term35	REAL
@ATTRIBUTE term36	REAL
@ATTRIBUTE term37	REAL
@ATTRIBUTE term38	REAL
@ATTRIBUTE term39	REAL
@ATTRIBUTE term40	REAL
@ATTRIBUTE term41	REAL
@ATTRIBUTE term42	REAL
@ATTRIBUTE term43	REAL
@ATTRIBUTE term44	REAL
@ATTRIBUTE term45	REAL
@ATTRIBUTE term46	REAL
@ATTRIBUTE term47	REAL
@ATTRIBUTE term48	REAL
@ATTRIBUTE term49	REAL
@ATTRIBUTE term50	REAL
@ATTRIBUTE term51	REAL
@ATTRIBUTE term52	REAL
@ATTRIBUTE term53	REAL
@ATTRIBUTE term54	REAL
@ATTRIBUTE term55	REAL
@ATTRIBUTE term56	REAL
@ATTRIBUTE term57	REAL
@ATTRIBUTE term58	REAL
@ATTRIBUTE term59	REAL
@ATTRIBUTE term60	REAL
@ATTRIBUTE term61	REAL
@ATTRIBUTE term62	REAL
@ATTRIBUTE term63	REAL
@ATTRIBUTE term64	REAL
@ATTRIBUTE term65	REAL
@ATTRIBUTE term66	REAL
@ATTRIBUTE term67	REAL
@ATTRIBUTE term68	REAL
@ATTRIBUTE term69	REAL
@ATTRIBUTE term70	REAL
@ATTRIBUTE term71	REAL
@ATTRIBUTE term72	REAL
@ATTRIBUTE term73	REAL
@ATTRIBUTE term74	REAL
@ATTRIBUTE term75	REAL
@ATTRIBUTE term76	REAL
@ATTRIBUTE term77	REAL
@ATTRIBUTE term78	REAL
@ATTRIBUTE term79	REAL
@ATTRIBUTE term80	REAL
@ATTRIBUTE term81	REAL
@ATTRIBUTE term82	REAL
@ATTRIBUTE term83	REAL
@ATTRIBUTE term84	REAL
@ATTRIBUTE term85	REAL
@ATTRIBUTE term86	REAL
@ATTRIBUTE term87	REAL
@ATTRIBUTE term88	REAL
@ATTRIBUTE term89	REAL
@ATTRIBUTE term90	REAL
@ATTRIBUTE term91	REAL
@ATTRIBUTE term92	REAL
@ATTRIBUTE term93	REAL
@ATTRIBUTE term94	REAL
@ATTRIBUTE term95	REAL
@ATTRIBUTE term96	REAL
@ATTRIBUTE term97	REAL
@ATTRIBUTE term98	REAL
@ATTRIBUTE term99	REAL
@ATTRIBUTE term100	REAL
@ATTRIBUTE term101	REAL
@ATTRIBUTE term102	REAL
@ATTRIBUTE term103	REAL
@ATTRIBUTE term104	REAL
@ATTRIBUTE term105	REAL
@ATTRIBUTE term106	REAL
@ATTRIBUTE term107	REAL
@ATTRIBUTE term108	REAL
@ATTRIBUTE term109	REAL
@ATTRIBUTE term110	REAL
@ATTRIBUTE term111	REAL
@ATTRIBUTE term112	REAL
@ATTRIBUTE term113	REAL
@ATTRIBUTE term114	REAL
@ATTRIBUTE term115	REAL
@ATTRIBUTE term116	REAL
@ATTRIBUTE term117	REAL
@ATTRIBUTE term118	REAL
@ATTRIBUTE term119	REAL
@ATTRIBUTE term120	REAL
@ATTRIBUTE term121	REAL
@ATTRIBUTE term122	REAL
@ATTRIBUTE term123	REAL
@ATTRIBUTE term124	REAL
@ATTRIBUTE term125	REAL
@ATTRIBUTE term126	REAL
@ATTRIBUTE term127	REAL
@ATTRIBUTE term128	REAL
@ATTRIBUTE term129	REAL
@ATTRIBUTE term130	REAL
@ATTRIBUTE term131	REAL
@ATTRIBUTE term132	REAL
@ATTRIBUTE term133	REAL
@ATTRIBUTE term134	REAL
@ATTRIBUTE term135	REAL
@ATTRIBUTE term136	REAL
@ATTRIBUTE term137	REAL
@ATTRIBUTE term138	REAL
@ATTRIBUTE term139	REAL
@ATTRIBUTE term140	REAL
@ATTRIBUTE term141	REAL
@ATTRIBUTE term142	REAL
@ATTRIBUTE term143	REAL
@ATTRIBUTE term144	REAL
@ATTRIBUTE term145	REAL
@ATTRIBUTE term146	REAL
@ATTRIBUTE term147	REAL
@ATTRIBUTE term148	REAL
@ATTRIBUTE term149	REAL
@ATTRIBUTE term150	REAL
@ATTRIBUTE term151	REAL
@ATTRIBUTE term152	REAL
@ATTRIBUTE term153	REAL
@ATTRIBUTE term154	REAL
@ATTRIBUTE term155	REAL
@ATTRIBUTE term156	REAL
@ATTRIBUTE term157	REAL
@ATTRIBUTE term158	REAL
@ATTRIBUTE term159	REAL
@ATTRIBUTE term160	REAL
@ATTRIBUTE term161	REAL
@ATTRIBUTE term162	REAL
@ATTRIBUTE term163	REAL
@ATTRIBUTE term164	REAL
@ATTRIBUTE term165	REAL
@ATTRIBUTE term166	REAL
@ATTRIBUTE term167	REAL
@ATTRIBUTE class	{classical,electronic,jazz_blues,metal_punk,rock_pop,world}

@DATA
1.348044,2.503919,2.812855,2.901826,4.302825,4.428469,3.539591,3.127485,2.388615,3.331782,2.259423,1.491119,2.056201,1.621662,2.813204,2.252483,1.844338,1.496439,0.920171,0.597090,0.328142,0.198289,0.066070,0.001067,0.547818,1.637143,2.225546,2.655477,2.636006,3.506514,3.624192,4.469387,1.980347,3.650388,1.519887,1.555953,1.049930,0.464905,2.514227,1.632997,1.092277,0.447846,0.175998,0.106734,0.031611,0.015731,0.004344,0.000000,0.447501,0.296063,0.747086,1.176815,0.716494,0.393413,0.429824,0.954515,1.510102,0.551667,0.540849,1.121852,0.828383,0.896334,0.684122,0.973423,0.942935,0.546131,0.068193,0.350356,0.340278,0.411991,0.921713,6.848604,4.606843,3.516268,3.568270,4.542068,4.056283,3.073825,2.759130,3.987382,6.575688,3.717643,3.198897,5.128474,3.440004,4.456456,3.150412,4.438449,4.361667,3.120681,2.511602,2.653429,2.455399,2.664736,3.343658,135.493900,1.245824,2.317916,2.585037,2.548793,4.007109,4.267111,3.331316,2.854337,2.102957,3.382160,2.134275,1.380773,1.874640,1.544210,2.506859,2.025479,1.664563,1.405652,0.915410,0.563123,0.309223,0.182574,0.045636,0.001066,0.103056,0.384463,0.602671,0.714992,1.643679,1.197604,0.614561,0.546943,0.597703,0.368793,0.312624,0.197601,0.438530,0.380792,0.583072,0.570657,0.504104,0.380822,0.194432,0.088946,0.044745,0.009014,0.001066,0.001066,3.355198,5.994071,7.524675,8.291892,9.164340,9.211564,8.183252,8.695440,7.622764,7.768790,5.396050,4.555508,5.317694,4.243524,7.351042,6.371632,5.124744,3.462663,1.983598,1.509452,0.817434,0.548234,0.293072,0.001288,classical
0.465096,1.492075,2.476138,3.096357,2.341732,2.581901,3.362199,3.510507,2.529212,1.262899,1.652875,1.624766,1.373040,2.375814,1.518264,2.424489,1.962551,1.564110,0.865872,0.578848,0.291949,0.183076,0.067733,0.001072,0.137647,0.650033,1.426462,2.310442,2.100000,1.942822,4.197375,4.871341,6.570646,0.908319,1.176269,1.033296,1.185909,3.053042,1.229747,2.947718,2.097054,0.969376,0.270577,0.157284,0.040237,0.020405,0.006152,0.000000,1.144905,0.683915,0.933228,0.847987,1.151678,0.742239,0.787428,1.192332,2.236688,2.060298,1.229099,0.892788,1.817804,1.303119,2.088233,1.746768,1.557879,1.308564,0.894793,1.163362,1.094214,0.868686,1.745334,10.333403,4.431214,3.122883,3.912574,3.519641,4.260749,3.095973,2.949423,4.592489,10.003831,9.256057,4.432985,3.541744,7.953342,5.226809,10.277087,6.499513,5.526098,4.901249,4.135415,4.457015,4.326384,3.555330,6.571376,205.151407,0.395377,1.386421,2.282702,2.853807,1.987790,2.306449,2.786984,2.956285,1.564915,1.038626,1.373342,1.364955,1.087182,1.944747,1.281522,1.948488,1.451412,1.318716,0.791992,0.492208,0.256049,0.152356,0.039039,0.001066,0.003811,0.084039,0.487592,0.587246,0.267671,0.318274,0.426809,0.506121,0.204173,0.164042,0.163713,0.180170,0.123050,0.179839,0.148782,0.345061,0.177917,0.179949,0.066303,0.047336,0.010933,0.004225,0.001066,0.001066,1.786666,3.996255,7.173171,8.232135,7.919972,7.188868,9.803174,11.906507,12.990268,6.134442,5.537197,5.469308,6.812884,9.726686,7.720023,10.060189,8.163758,5.677062,2.967191,2.233408,1.102801,0.712623,0.443795,0.002727,classical
0.421356,1.020679,1.887915,2.705422,2.691663,2.099233,1.605184,1.742983,1.341236,1.058851,1.095559,1.233171,1.088727,1.476870,1.335006,1.497679,1.400267,1.123253,0.853464,0.489304,0.279000,0.155820,0.043737,0.001067,0.068786,0.313535,0.685371,1.175273,2.357280,0.979380,1.143919,1.203883,0.364057,0.519766,0.406408,0.633105,0.294644,0.866792,0.532258,0.584183,0.468386,0.220430,0.157811,0.042713,0.019715,0.009867,0.002025,0.000000,0.810681,0.976285,0.498506,0.411754,0.568898,1.072844,0.633314,0.516228,0.406269,0.840223,0.306351,0.306872,0.652901,0.758389,0.995821,0.409882,0.545007,0.471944,0.369373,0.291253,0.395383,0.730500,1.744932,6.384725,3.637886,5.243352,3.061194,2.623776,2.565417,4.115240,3.056578,2.609882,2.648256,3.622810,2.528043,3.388813,3.576997,3.379041,4.573254,3.232453,3.751032,3.317016,3.482983,2.906269,2.633798,3.952528,10.396380,128.000490,0.381665,0.939162,1.784259,2.588496,2.369103,1.914865,1.398143,1.547467,1.284933,0.902300,1.030850,1.135488,1.015724,1.311965,1.241823,1.401710,1.314928,1.096579,0.824092,0.481447,0.264764,0.146519,0.030249,0.001066,0.008700,0.090788,0.366447,0.722664,0.468212,0.554168,0.273135,0.301863,0.351239,0.175840,0.176912,0.207754,0.241527,0.269595,0.236203,0.387087,0.303830,0.300100,0.202464,0.091052,0.029328,0.003572,0.001066,0.001066,1.369158,2.821872,4.271662,5.689357,6.759646,5.396430,4.104228,4.395267,2.880639,2.899729,2.566175,3.149271,2.724692,3.744031,3.922305,3.552409,3.737954,2.565911,1.978142,1.131058,0.716476,0.510938,0.239383,0.001416,classical
0.893176,2.567008,2.843143,3.156774,2.593441,3.120281,2.468982,3.268080,2.705120,2.649307,1.855746,2.061748,2.128812,2.738111,2.669553,3.268476,2.816621,2.115009,1.363642,0.862095,0.479762,0.295616,0.109640,0.001134,0.149797,1.049820,1.041496,1.687829,1.620279,1.855150,1.349206,2.714098,2.851822,2.804711,1.201258,1.062062,1.796088,2.621020,1.901075,3.344242,2.404063,1.166490,0.299466,0.156071,0.051232,0.020471,0.006417,0.000001,0.158169,0.538920,0.580396,0.754269,1.029586,0.986115,1.474354,0.925513,1.133036,1.402799,1.644196,1.254259,2.202676,1.428823,1.004601,1.258338,1.395604,1.554076,0.427563,0.953938,0.658866,0.562869,0.923885,12.573609,2.517994,2.874435,3.227098,3.363431,4.064101,4.265399,6.532588,3.712095,3.769856,5.583913,6.599934,5.614949,11.136204,5.724705,3.911424,4.602419,5.532063,7.110245,3.150482,5.122619,4.300676,3.935146,3.860141,232.081130,0.893466,2.396220,2.733467,3.000416,2.306978,2.867483,2.237543,2.977348,2.164087,2.122028,1.585436,1.835947,1.780205,2.335191,2.435883,2.845631,2.477525,1.898234,1.319585,0.823500,0.462509,0.286165,0.097155,0.001066,0.044716,0.586992,0.600125,0.844388,0.524986,0.790982,0.535047,0.578736,0.394962,0.435595,0.260828,0.355160,0.363420,0.429592,0.530205,0.599782,0.616648,0.442416,0.263306,0.113292,0.032907,0.022149,0.001162,0.001066,2.028189,5.818664,6.291889,7.452583,7.343088,8.551391,8.251601,8.798201,8.665408,8.154863,6.681279,6.702694,9.045535,10.236663,7.426630,10.352238,9.501417,6.951384,3.244935,2.571428,1.417775,0.848236,0.421972,0.010615,classical
0.355863,0.251821,0.324622,1.527017,1.968713,3.258415,3.662006,4.598507,2.928598,2.681919,2.465954,1.736310,1.637205,2.009326,2.330670,1.702856,1.338176,1.098945,0.555789,0.303600,0.192510,0.106654,0.032209,0.001066,0.048403,0.018715,0.165517,1.032009,1.708095,2.820621,3.767735,7.572249,6.862131,5.150363,3.066274,0.925927,1.138787,1.594810,2.747663,1.098137,0.548466,0.400153,0.109709,0.036655,0.019402,0.008477,0.001585,0.000000,0.907950,0.528668,1.342883,1.182699,1.176861,0.583421,0.503049,0.551809,1.178452,1.356659,1.446880,0.747733,0.889698,0.960822,1.230790,1.242802,0.815877,0.709127,0.897421,1.290651,1.199739,1.407556,2.601826,1.000000,4.061637,3.022639,5.799210,5.746393,4.980302,3.302703,2.897179,3.549613,5.452161,5.113042,5.756291,3.709414,3.510349,3.685064,4.477965,4.918587,3.260247,3.275640,3.952430,7.013856,4.826396,6.346915,17.016251,1.000000,0.319656,0.240287,0.237239,1.440708,1.724415,3.082241,3.439582,4.442267,2.371987,1.885187,2.027956,1.599423,1.407364,1.761257,1.938590,1.462031,1.212879,1.015581,0.500122,0.268544,0.159406,0.083080,0.020306,0.001066,0.006863,0.006622,0.002226,0.159921,0.279898,0.480825,0.571929,0.387226,0.306743,0.248017,0.334379,0.216740,0.236948,0.247569,0.319168,0.307648,0.274132,0.213212,0.074071,0.041122,0.018572,0.006299,0.001281,0.001066,1.164786,0.703975,1.532966,4.568053,6.427425,8.299177,8.858627,11.672225,9.339608,9.698865,8.260794,4.862787,4.714923,6.380935,7.786933,5.593014,3.794830,3.012739,1.702002,1.110203,0.689498,0.461626,0.246851,0.001066,classical
0.901294,2.000918,3.693931,4.703725,3.670325,4.958538,3.893950,3.494469,3.013997,3.668044,2.687379,2.214297,2.845357,2.352937,2.815860,2.703284,2.065646,1.719566,0.844141,0.596686,0.339131,0.200812,0.068359,0.001093,0.121658,0.488385,3.930404,4.123924,2.568322,4.617379,2.833688,4.074312,5.773861,4.608352,2.059182,1.393299,2.066990,1.621384,2.296167,2.363018,1.542159,0.901952,0.195843,0.127383,0.037666,0.020747,0.004210,0.000000,0.171379,0.292317,0.570292,0.480294,0.376663,0.123510,0.271830,0.271834,1.083324,0.372821,0.863922,0.685068,0.370924,0.813036,0.654901,0.732582,0.951112,0.647012,1.040042,0.628448,0.545676,1.027681,1.239539,5.704366,2.764171,2.873285,2.340219,2.723338,3.129955,2.467112,2.595844,2.724354,4.589173,2.477434,4.656743,3.266343,2.537726,3.834566,3.502535,3.592657,3.900383,3.253929,4.786828,2.944179,2.874208,4.418676,4.464398,83.001531,0.893236,1.929067,3.073499,4.429682,3.557562,4.886846,3.712218,3.374632,2.303523,3.519386,2.492708,2.071249,2.727772,2.169539,2.615935,2.453968,1.839478,1.565363,0.794743,0.541024,0.314395,0.178084,0.055097,0.001066,0.077491,0.352403,0.708267,0.919243,0.352954,0.676650,0.725177,0.368675,0.227886,0.343900,0.320959,0.220957,0.250597,0.298235,0.352676,0.365806,0.294749,0.277246,0.100072,0.047649,0.011902,0.001872,0.001066,0.001066,1.916140,4.066978,8.158002,10.407544,8.475983,10.295740,8.729912,8.325698,10.866643,9.080641,7.983671,5.666446,6.942313,6.594846,7.976545,7.633235,6.424485,4.587351,2.392821,1.593758,0.931116,0.668610,0.278169,0.003037,classical
1.181160,2.773262,3.490019,4.303705,3.609064,4.169963,2.828894,3.504369,2.980906,2.468019,2.582093,2.301043,2.279402,2.544299,2.681974,3.206958,2.726976,2.329742,1.402525,0.909589,0.498350,0.309719,0.126158,0.001375,0.375568,1.139948,1.921327,3.615359,3.050406,3.760679,2.755939,4.607453,2.925797,2.770439,3.962842,2.591226,2.311819,2.689206,2.924725,3.751031,3.285784,1.843916,0.508991,0.242190,0.076936,0.035288,0.012873,0.000010,0.259992,0.558619,0.636422,0.716600,0.587430,0.960729,1.694493,1.700369,1.371038,1.598519,2.006355,1.595821,1.763598,1.237779,1.642998,1.212694,1.318147,1.233453,0.847136,0.837288,0.757251,0.464440,1.040658,12.996004,2.470872,3.099828,3.275611,3.252305,2.829711,4.142434,6.742753,6.905252,5.151305,5.917718,7.717877,6.449989,7.601989,4.621387,6.924346,4.603588,5.170099,4.807166,3.965501,3.547060,3.610870,2.685378,3.846749,211.766263,1.140380,2.619975,3.330923,3.990716,3.344902,3.874279,2.385009,2.927599,2.516837,1.973415,2.011421,1.867810,1.950418,2.123835,2.343260,2.701849,2.340210,2.007832,1.294600,0.833620,0.461708,0.292919,0.098733,0.001066,0.052793,0.401656,0.677217,0.976551,0.612486,0.914158,0.599473,0.551427,0.486434,0.280057,0.230876,0.225193,0.247733,0.198308,0.390163,0.410765,0.380639,0.304041,0.133800,0.066577,0.019262,0.002907,0.001066,0.001066,2.748032,5.926877,7.807146,10.466257,8.744847,11.564953,10.383428,13.539088,10.116335,10.089372,11.307227,9.352183,8.608282,8.852877,10.806310,11.663951,10.259182,8.174629,4.304408,2.785875,1.577783,0.912744,0.544102,0.047581,classical
0.905087,2.319359,3.338111,3.876502,3.040097,4.461062,3.339126,2.884180,5.001178,4.176464,3.121882,1.699183,2.795767,2.475712,2.594337,2.684678,1.854609,1.561882,1.027213,0.567410,0.359371,0.217267,0.071789,0.001069,0.318020,1.345156,1.823849,3.282764,2.952629,4.057417,2.259429,2.310620,5.596206,6.962324,5.825767,0.863617,1.465131,1.790897,2.288101,1.992981,0.595767,0.412341,0.156743,0.065931,0.031419,0.014383,0.003300,0.000000,0.562863,0.352728,0.240753,0.516619,0.856905,0.576415,0.296840,1.077236,0.722977,0.875393,0.870636,1.344078,0.404669,1.024800,1.163774,1.216347,0.433146,0.615378,0.124086,0.155630,0.456913,0.556452,1.374468,8.179562,2.556375,2.134729,2.326683,2.531260,3.644102,3.013107,2.709022,4.478358,3.500068,3.318931,3.391127,5.698349,2.698584,3.960760,4.413013,4.564800,3.475431,3.604772,2.910526,2.386346,3.608829,3.450134,5.867811,170.331862,0.748294,2.210219,3.229722,3.697505,2.796917,4.289620,3.193860,2.589142,4.747227,3.573676,2.377359,1.514476,2.705222,2.141063,2.269698,2.307514,1.786667,1.494605,1.028798,0.545981,0.342982,0.206792,0.059281,0.001066,0.069128,0.279571,0.547833,0.742076,0.430635,0.828772,0.439263,0.512419,1.000576,0.469131,0.318393,0.365111,0.584419,0.426323,0.352610,0.609409,0.335436,0.394666,0.164839,0.068707,0.030830,0.008872,0.001066,0.001066,2.259731,5.008353,6.914346,8.810638,8.668803,10.314286,7.445601,7.972259,11.811428,12.333155,9.659844,5.649474,6.166482,7.295085,7.888563,8.035584,4.590986,3.916695,2.172504,1.265208,0.949115,0.696700,0.336178,0.002615,classical
0.575972,1.460180,1.708803,2.030214,1.404059,2.344997,2.515906,2.263865,1.840212,1.549630,1.730332,1.323744,1.041237,1.772707,1.170251,1.689553,1.437349,1.259217,0.686012,0.397329,0.287513,0.185516,0.075659,0.001112,0.146879,0.833599,0.810420,0.959898,0.772306,1.534676,1.779941,1.707030,1.503019,1.107830,1.024546,0.514365,0.318304,0.790394,0.396460,0.942651,0.834590,0.640047,0.167797,0.060979,0.036896,0.017543,0.006285,0.000000,0.895367,0.903007,0.953700,0.794591,1.004862,0.967390,0.698656,1.022788,1.111556,1.375067,0.865788,1.186512,1.219476,0.906437,1.263129,1.263818,1.291300,1.015618,0.970820,0.923239,0.977263,0.820108,1.354223,13.425128,3.803053,4.188635,3.641303,4.044504,4.014240,4.057791,3.103665,4.273421,4.362085,5.403388,3.816508,4.804802,5.062740,3.952745,5.296909,5.356991,5.837114,4.074855,4.044047,3.980765,3.979182,3.238505,4.498643,266.831247,0.506469,1.291442,1.520503,1.892095,1.218895,2.115522,2.309066,2.006456,1.555066,1.328777,1.579580,1.179117,0.930319,1.631299,1.056351,1.496348,1.261894,1.105430,0.621721,0.355751,0.252248,0.159429,0.047446,0.001066,0.024566,0.151379,0.357582,0.509115,0.152090,0.400363,0.410072,0.425793,0.312164,0.242345,0.297445,0.249445,0.213167,0.281016,0.232118,0.347954,0.275769,0.256209,0.102592,0.052053,0.026947,0.010410,0.002664,0.001066,1.679909,4.202424,4.438345,5.095032,4.256320,6.604113,6.677728,6.564408,5.940675,5.401849,4.886449,4.183912,3.463978,5.081977,3.771554,5.564583,5.133869,4.150102,2.143221,1.343026,1.050829,0.620795,0.381030,0.005646,classical
0.635860,1.022888,1.165858,1.226979,1.105757,1.874997,2.892279,3.518842,1.508150,1.276487,2.082758,2.111737,1.736257,1.601025,1.813286,1.738871,1.581286,1.422220,0.904653,0.291398,0.191878,0.087416,0.023237,0.001066,0.229766,1.590689,1.522054,1.937606,1.832777,3.145645,6.045840,8.816328,1.934420,2.984744,3.717749,3.307122,1.669030,1.799734,2.777997,1.735665,1.387539,1.115593,0.555272,0.072701,0.045395,0.012050,0.001822,0.000000,0.833989,1.341125,1.362713,1.331110,1.353176,1.082090,0.747075,0.644518,1.071368,1.419880,1.065596,0.952051,0.768239,0.885792,1.374356,0.729321,0.849760,0.966247,0.686033,1.212840,1.543901,1.642576,3.169506,1.000000,3.082732,4.673403,4.642077,4.229241,4.582804,3.507090,3.091121,2.739040,3.615651,4.594672,3.968583,3.574611,2.721978,3.696526,4.751912,2.791230,3.147822,3.810123,2.842630,4.041331,5.224697,5.390016,17.666212,1.000000,0.513029,0.606576,0.770732,0.761216,0.611414,1.420534,2.270081,3.061759,1.054535,0.810987,1.821966,1.678926,1.298126,1.426288,1.269234,1.498054,1.324375,1.206044,0.759236,0.194420,0.106850,0.037075,0.004580,0.001066,0.011162,0.007519,0.027525,0.041425,0.005285,0.053513,0.055659,0.098334,0.095519,0.039647,0.057360,0.042761,0.143670,0.047270,0.089915,0.089301,0.099135,0.082744,0.043375,0.007897,0.002786,0.001066,0.001066,0.001066,1.958677,4.545319,5.065280,5.518646,5.323086,6.782938,8.971530,10.880879,5.892931,5.932552,7.715196,7.452893,5.841679,5.848647,8.104142,5.612268,5.410626,5.171982,3.001208,1.240772,1.049554,0.602231,0.305996,0.001066,classical
