@RELATION ISMIRrhythm.rh

@ATTRIBUTE term0	REAL
@ATTRIBUTE term1	REAL
@ATTRIBUTE term2	REAL
@ATTRIBUTE term3	REAL
@ATTRIBUTE term4	REAL
@ATTRIBUTE term5	REAL
@ATTRIBUTE term6	REAL
@ATTRIBUTE term7	REAL
@ATTRIBUTE term8	REAL
@ATTRIBUTE term9	REAL
@ATTRIBUTE term10	REAL
@ATTRIBUTE term11	REAL
@ATTRIBUTE term12	REAL
@ATTRIBUTE term13	REAL
@ATTRIBUTE term14	REAL
@ATTRIBUTE term15	REAL
@ATTRIBUTE term16	REAL
@ATTRIBUTE term17	REAL
@ATTRIBUTE term18	REAL
@ATTRIBUTE term19	REAL
@ATTRIBUTE term20	REAL
@ATTRIBUTE term21	REAL
@ATTRIBUTE term22	REAL
@ATTRIBUTE term23	REAL
@ATTRIBUTE term24	REAL
@ATTRIBUTE term25	REAL
@ATTRIBUTE term26	REAL
@ATTRIBUTE term27	REAL
@ATTRIBUTE term28	REAL
@ATTRIBUTE term29	REAL
@ATTRIBUTE term30	REAL
@ATTRIBUTE term31	REAL
@ATTRIBUTE term32	REAL
@ATTRIBUTE term33	REAL
@ATTRIBUTE term34	REAL
@ATTRIBUTE term35	REAL
@ATTRIBUTE term36	REAL
@ATTRIBUTE term37	REAL
@ATTRIBUTE term38	REAL
@ATTRIBUTE term39	REAL
@ATTRIBUTE term40	REAL
@ATTRIBUTE term41	REAL
@ATTRIBUTE term42	REAL
@ATTRIBUTE term43	REAL
@ATTRIBUTE term44	REAL
@ATTRIBUTE term45	REAL
@ATTRIBUTE term46	REAL
@ATTRIBUTE term47	REAL
@ATTRIBUTE term48	REAL
@ATTRIBUTE term49	REAL
@ATTRIBUTE term50	REAL
@ATTRIBUTE term51	REAL
@ATTRIBUTE term52	REAL
@ATTRIBUTE term53	REAL
@ATTRIBUTE term54	REAL
@ATTRIBUTE term55	REAL
@ATTRIBUTE term56	REAL
@ATTRIBUTE term57	REAL
@ATTRIBUTE term58	REAL
@ATTRIBUTE term59	REAL
@ATTRIBUTE class	{ChaChaCha,Jive,Quickstep,Rumba,Samba,SlowWaltz,Tango,VienneseWaltz}

@DATA
11.972768,7.914795,8.101263,4.645944,6.602276,5.549439,5.345079,5.043278,7.429883,4.879618,3.622984,6.865651,4.915650,4.273694,4.367248,3.447179,3.500130,3.734160,3.473335,3.857444,2.968718,3.441968,3.391538,8.769713,8.427587,4.243496,3.602074,2.257621,2.671031,2.228303,3.043716,2.070967,2.259136,2.477780,2.315152,2.333057,3.831327,1.978062,2.091101,2.401333,1.879460,1.846081,2.328138,2.090654,2.139952,1.969890,2.081966,1.926641,8.038801,2.502241,2.266576,1.518351,1.786188,1.837882,2.152404,1.997490,1.475303,1.818564,1.629086,1.689011,ChaChaCha
17.929278,12.215487,7.550740,4.014199,5.549724,5.561293,3.925995,4.223216,3.693760,4.066466,5.908942,7.085861,8.397883,4.657679,2.631097,3.540619,3.106028,3.627819,5.564734,2.933902,2.314447,2.735767,2.575872,2.966732,15.807947,2.840830,2.192277,2.072029,1.627395,1.830400,3.123610,2.776537,1.902986,1.986443,2.252038,1.796414,2.500834,3.206834,1.970353,1.689082,1.853285,1.756694,1.683869,2.471275,1.492597,1.477144,1.726269,1.686130,2.546369,8.152193,3.468361,1.738568,1.961195,1.398313,1.265518,1.862909,1.908772,1.409389,1.453053,1.535305,ChaChaCha
9.604235,8.680176,6.108719,4.084975,4.041555,7.516894,3.440320,4.330953,4.251650,3.051820,3.606378,5.642475,3.790299,4.148756,3.108358,2.270322,2.969685,2.335524,2.516865,2.601794,1.960099,3.123189,2.891687,5.899599,8.324401,2.766359,2.468614,2.143422,1.880823,2.059330,2.224350,1.931174,1.806316,2.210638,1.859248,1.820288,4.208716,1.604719,1.749255,2.039693,1.617351,1.445760,1.785622,1.437196,1.776152,1.904594,1.770278,2.065022,8.493874,2.596550,1.786911,1.685812,1.382875,1.241634,1.485977,1.323097,1.092973,1.214489,1.324092,1.148443,ChaChaCha
11.251079,13.733220,11.392999,9.902152,7.962042,9.476901,7.025460,7.473689,5.980305,6.054272,10.156546,5.016657,6.385480,8.902981,4.657444,3.771596,4.116261,4.196723,5.436612,4.020305,3.553079,3.731279,2.969829,4.951748,14.799506,7.381985,5.149245,3.059647,2.868620,2.391968,2.418201,3.204400,2.754413,2.090816,3.325602,2.541778,2.791960,4.914342,3.159396,3.196605,2.556890,1.942808,2.333934,2.686287,1.991513,2.571225,2.391811,1.973966,3.263109,6.365913,10.067072,2.901323,1.932257,2.661183,1.916498,1.798684,2.388511,1.584572,1.593827,2.305913,ChaChaCha
15.947563,9.557362,17.423341,6.458033,6.494026,9.578314,5.570616,4.675056,4.853298,3.223601,4.400952,4.190870,4.146882,5.204663,3.844222,2.681670,3.153233,3.576168,2.741320,2.225567,3.425056,2.404567,3.055230,7.222050,6.687468,3.587796,2.131627,2.728174,2.125797,1.753402,2.691215,2.444703,1.952712,1.724512,1.750001,1.616670,3.013463,1.661920,1.507391,1.991620,1.533866,1.709221,2.314034,1.511757,1.607964,2.486855,2.094509,1.772590,9.586006,1.562023,1.522223,2.025521,1.528406,1.481322,1.792977,1.566448,1.471054,1.169318,1.465952,1.327802,ChaChaCha
8.268036,4.508731,5.747842,5.448563,5.635868,5.340280,4.385065,6.601507,3.471684,5.201813,5.227396,3.064964,5.125900,2.704040,3.523546,3.390534,3.425548,2.282516,2.683040,4.068581,11.306494,2.262779,2.332553,2.125841,1.584883,2.601744,1.528250,1.741943,1.978640,1.249667,2.537985,2.102803,1.574401,1.614453,1.513838,1.564867,1.662570,1.361549,1.509121,1.475056,2.406411,5.757360,1.845947,1.510479,1.054375,0.966187,1.520754,0.981086,1.479607,1.133961,1.185578,2.424077,1.562716,1.419060,0.983308,1.195507,1.204775,1.321063,1.353372,1.250912,ChaChaCha
16.316623,14.570034,11.025105,7.314945,8.007545,9.045492,5.842814,6.617146,7.068775,5.708559,6.565088,9.416584,8.272407,6.290351,6.937735,5.220631,4.897888,5.524712,4.214423,4.070717,3.953082,3.428462,5.537287,12.720422,12.697444,5.458975,3.649380,3.771537,3.417873,4.115146,4.806381,3.167624,3.216905,3.729701,3.019583,3.196691,4.648576,2.983787,2.720427,2.936029,2.249244,2.215532,2.874206,2.413007,2.432086,2.633569,2.403391,3.082911,10.758001,3.900393,2.151031,2.204260,2.232477,2.219078,2.778013,1.949576,1.956364,2.368412,2.029760,2.140485,ChaChaCha
12.964978,8.914100,8.752629,7.845956,4.851340,8.205132,5.859353,3.819617,4.500520,3.919890,5.338149,4.871870,4.544006,3.686695,3.121901,3.551848,3.791248,3.293085,3.293550,3.197305,2.998852,3.453389,9.130862,3.290954,2.492834,2.456815,2.207666,2.677612,2.431054,2.061555,1.989509,2.290033,2.057314,2.239306,1.769356,1.880261,1.770589,2.106111,1.680786,2.024365,2.157079,1.826473,2.056148,1.780589,1.528885,4.457800,2.292968,1.570280,1.498386,1.827553,1.583462,1.491658,1.578227,1.408751,1.546066,1.370058,1.390990,1.375785,1.325707,1.393168,ChaChaCha
17.624254,13.952991,10.574141,10.027949,7.767215,10.613337,6.743779,6.533453,6.863373,5.087351,5.021977,5.938247,4.461578,5.503831,4.806414,4.507081,4.238954,4.299728,5.174322,5.015507,4.849510,4.182711,5.484417,10.668450,12.775305,5.482498,4.286912,3.002802,3.464234,3.610597,2.802174,2.896772,2.730176,2.929287,3.123101,2.385250,3.945060,2.367797,2.282705,2.211135,2.686955,2.475890,2.994426,1.942089,2.209285,2.338419,1.861669,1.994425,10.196332,2.658071,2.198163,2.081895,1.977953,2.517781,2.059300,1.589712,1.710076,2.035039,1.656830,1.733352,ChaChaCha
21.898303,14.761841,14.462454,9.689003,10.430646,13.687031,8.157268,6.646781,8.031247,9.609072,7.823037,9.356707,7.646846,8.482055,7.394017,5.381296,4.627688,6.300436,6.228982,4.614692,4.994060,4.905928,4.768609,11.276485,12.746190,5.379426,4.381569,3.480245,3.201602,3.653848,5.369268,2.931062,3.340504,3.784393,3.272121,3.591317,4.905019,3.233382,3.320177,3.204704,3.051381,2.889210,3.845573,3.148491,2.453190,3.577881,2.965360,3.245450,9.937398,3.317669,3.102937,2.532450,2.511577,2.616857,4.035822,3.044353,2.569240,2.623606,2.325727,2.532803,ChaChaCha
