NO,1,0.705,0.805,0.429,0.646,60,60
Technique,Percentage,K-nn score,NN score,SVM Score,Average score,Total number of features,Number of selected features
univariate,0.1,0.69,0.562,0.462,0.571,60,6
univariate,0.2,0.633,0.633,0.476,0.581,60,12
univariate,0.3,0.781,0.71,0.51,0.667,60,18
univariate,0.4,0.743,0.681,0.5,0.641,60,24
univariate,0.5,0.833,0.8,0.557,0.73,60,30
univariate,0.6,0.738,0.724,0.467,0.643,60,36
univariate,0.7,0.729,0.8,0.476,0.668,60,42
univariate,0.8,0.719,0.781,0.414,0.638,60,48
univariate,0.9,0.667,0.767,0.405,0.613,60,54
univariate,1.0,0.762,0.81,0.381,0.651,60,60
tree_based,0.1,0.614,0.562,0.524,0.567,60,6
tree_based,0.2,0.643,0.61,0.424,0.559,60,12
tree_based,0.3,0.705,0.714,0.462,0.627,60,18
tree_based,0.4,0.776,0.771,0.433,0.66,60,24
tree_based,0.5,0.776,0.795,0.486,0.686,60,30
tree_based,0.6,0.719,0.719,0.433,0.624,60,36
tree_based,0.7,0.781,0.771,0.481,0.678,60,42
tree_based,0.8,0.705,0.767,0.376,0.616,60,48
tree_based,0.9,0.776,0.81,0.438,0.675,60,54
tree_based,1.0,0.71,0.81,0.41,0.643,60,60
l1,0.1,0.39,0.371,0.333,0.365,60,6
l1,0.2,0.733,0.614,0.533,0.627,60,12
l1,0.3,0.786,0.776,0.524,0.695,60,18
l1,0.4,0.738,0.757,0.481,0.659,60,24
l1,0.5,0.705,0.729,0.51,0.648,60,30
l1,0.6,0.724,0.729,0.452,0.635,60,36
l1,0.7,0.748,0.805,0.533,0.695,60,42
l1,0.8,0.743,0.819,0.433,0.665,60,48
l1,0.9,0.762,0.8,0.471,0.678,60,54
l1,1.0,0.71,0.771,0.419,0.633,60,60
