NO,1,0.781,0.895,0.362,0.679,1440,1440
Technique,Percentage,K-nn score,NN score,SVM Score,Average score,Total number of features,Number of selected features
univariate,0.1,0.643,0.69,0.419,0.584,1440,144
univariate,0.2,0.771,0.795,0.505,0.69,1440,288
univariate,0.3,0.738,0.814,0.481,0.678,1440,432
univariate,0.4,0.71,0.762,0.471,0.648,1440,576
univariate,0.5,0.771,0.852,0.548,0.724,1440,720
univariate,0.6,0.748,0.876,0.524,0.716,1440,864
univariate,0.7,0.786,0.876,0.514,0.725,1440,1008
univariate,0.8,0.776,0.876,0.467,0.706,1440,1152
univariate,0.9,0.681,0.838,0.448,0.656,1440,1296
univariate,1.0,0.762,0.857,0.514,0.711,1440,1440
tree_based,0.1,0.733,0.776,0.41,0.64,1440,144
tree_based,0.2,0.81,0.905,0.467,0.727,1440,288
tree_based,0.3,0.771,0.852,0.443,0.689,1440,432
tree_based,0.4,0.8,0.905,0.538,0.748,1440,576
tree_based,0.5,0.71,0.833,0.514,0.686,1440,720
tree_based,0.6,0.752,0.867,0.49,0.703,1440,864
tree_based,0.7,0.733,0.867,0.457,0.686,1440,1008
tree_based,0.8,0.724,0.833,0.443,0.667,1440,1152
tree_based,0.9,0.748,0.862,0.452,0.687,1440,1296
tree_based,1.0,0.714,0.848,0.5,0.687,1440,1440
l1,0.1,0.8,0.862,0.557,0.74,1440,144
l1,0.2,0.748,0.881,0.514,0.714,1440,288
l1,0.3,0.714,0.886,0.533,0.711,1440,432
l1,0.4,0.738,0.838,0.457,0.678,1440,576
l1,0.5,0.729,0.876,0.462,0.689,1440,720
l1,0.6,0.748,0.9,0.51,0.719,1440,864
l1,0.7,0.748,0.862,0.448,0.686,1440,1008
l1,0.8,0.757,0.876,0.505,0.713,1440,1152
l1,0.9,0.705,0.871,0.519,0.698,1440,1296
l1,1.0,0.767,0.871,0.519,0.719,1440,1440
