@RELATION ISMIRrhythm.ssd

@ATTRIBUTE term0	REAL
@ATTRIBUTE term1	REAL
@ATTRIBUTE term2	REAL
@ATTRIBUTE term3	REAL
@ATTRIBUTE term4	REAL
@ATTRIBUTE term5	REAL
@ATTRIBUTE term6	REAL
@ATTRIBUTE term7	REAL
@ATTRIBUTE term8	REAL
@ATTRIBUTE term9	REAL
@ATTRIBUTE term10	REAL
@ATTRIBUTE term11	REAL
@ATTRIBUTE term12	REAL
@ATTRIBUTE term13	REAL
@ATTRIBUTE term14	REAL
@ATTRIBUTE term15	REAL
@ATTRIBUTE term16	REAL
@ATTRIBUTE term17	REAL
@ATTRIBUTE term18	REAL
@ATTRIBUTE term19	REAL
@ATTRIBUTE term20	REAL
@ATTRIBUTE term21	REAL
@ATTRIBUTE term22	REAL
@ATTRIBUTE term23	REAL
@ATTRIBUTE term24	REAL
@ATTRIBUTE term25	REAL
@ATTRIBUTE term26	REAL
@ATTRIBUTE term27	REAL
@ATTRIBUTE term28	REAL
@ATTRIBUTE term29	REAL
@ATTRIBUTE term30	REAL
@ATTRIBUTE term31	REAL
@ATTRIBUTE term32	REAL
@ATTRIBUTE term33	REAL
@ATTRIBUTE term34	REAL
@ATTRIBUTE term35	REAL
@ATTRIBUTE term36	REAL
@ATTRIBUTE term37	REAL
@ATTRIBUTE term38	REAL
@ATTRIBUTE term39	REAL
@ATTRIBUTE term40	REAL
@ATTRIBUTE term41	REAL
@ATTRIBUTE term42	REAL
@ATTRIBUTE term43	REAL
@ATTRIBUTE term44	REAL
@ATTRIBUTE term45	REAL
@ATTRIBUTE term46	REAL
@ATTRIBUTE term47	REAL
@ATTRIBUTE term48	REAL
@ATTRIBUTE term49	REAL
@ATTRIBUTE term50	REAL
@ATTRIBUTE term51	REAL
@ATTRIBUTE term52	REAL
@ATTRIBUTE term53	REAL
@ATTRIBUTE term54	REAL
@ATTRIBUTE term55	REAL
@ATTRIBUTE term56	REAL
@ATTRIBUTE term57	REAL
@ATTRIBUTE term58	REAL
@ATTRIBUTE term59	REAL
@ATTRIBUTE term60	REAL
@ATTRIBUTE term61	REAL
@ATTRIBUTE term62	REAL
@ATTRIBUTE term63	REAL
@ATTRIBUTE term64	REAL
@ATTRIBUTE term65	REAL
@ATTRIBUTE term66	REAL
@ATTRIBUTE term67	REAL
@ATTRIBUTE term68	REAL
@ATTRIBUTE term69	REAL
@ATTRIBUTE term70	REAL
@ATTRIBUTE term71	REAL
@ATTRIBUTE term72	REAL
@ATTRIBUTE term73	REAL
@ATTRIBUTE term74	REAL
@ATTRIBUTE term75	REAL
@ATTRIBUTE term76	REAL
@ATTRIBUTE term77	REAL
@ATTRIBUTE term78	REAL
@ATTRIBUTE term79	REAL
@ATTRIBUTE term80	REAL
@ATTRIBUTE term81	REAL
@ATTRIBUTE term82	REAL
@ATTRIBUTE term83	REAL
@ATTRIBUTE term84	REAL
@ATTRIBUTE term85	REAL
@ATTRIBUTE term86	REAL
@ATTRIBUTE term87	REAL
@ATTRIBUTE term88	REAL
@ATTRIBUTE term89	REAL
@ATTRIBUTE term90	REAL
@ATTRIBUTE term91	REAL
@ATTRIBUTE term92	REAL
@ATTRIBUTE term93	REAL
@ATTRIBUTE term94	REAL
@ATTRIBUTE term95	REAL
@ATTRIBUTE term96	REAL
@ATTRIBUTE term97	REAL
@ATTRIBUTE term98	REAL
@ATTRIBUTE term99	REAL
@ATTRIBUTE term100	REAL
@ATTRIBUTE term101	REAL
@ATTRIBUTE term102	REAL
@ATTRIBUTE term103	REAL
@ATTRIBUTE term104	REAL
@ATTRIBUTE term105	REAL
@ATTRIBUTE term106	REAL
@ATTRIBUTE term107	REAL
@ATTRIBUTE term108	REAL
@ATTRIBUTE term109	REAL
@ATTRIBUTE term110	REAL
@ATTRIBUTE term111	REAL
@ATTRIBUTE term112	REAL
@ATTRIBUTE term113	REAL
@ATTRIBUTE term114	REAL
@ATTRIBUTE term115	REAL
@ATTRIBUTE term116	REAL
@ATTRIBUTE term117	REAL
@ATTRIBUTE term118	REAL
@ATTRIBUTE term119	REAL
@ATTRIBUTE term120	REAL
@ATTRIBUTE term121	REAL
@ATTRIBUTE term122	REAL
@ATTRIBUTE term123	REAL
@ATTRIBUTE term124	REAL
@ATTRIBUTE term125	REAL
@ATTRIBUTE term126	REAL
@ATTRIBUTE term127	REAL
@ATTRIBUTE term128	REAL
@ATTRIBUTE term129	REAL
@ATTRIBUTE term130	REAL
@ATTRIBUTE term131	REAL
@ATTRIBUTE term132	REAL
@ATTRIBUTE term133	REAL
@ATTRIBUTE term134	REAL
@ATTRIBUTE term135	REAL
@ATTRIBUTE term136	REAL
@ATTRIBUTE term137	REAL
@ATTRIBUTE term138	REAL
@ATTRIBUTE term139	REAL
@ATTRIBUTE term140	REAL
@ATTRIBUTE term141	REAL
@ATTRIBUTE term142	REAL
@ATTRIBUTE term143	REAL
@ATTRIBUTE term144	REAL
@ATTRIBUTE term145	REAL
@ATTRIBUTE term146	REAL
@ATTRIBUTE term147	REAL
@ATTRIBUTE term148	REAL
@ATTRIBUTE term149	REAL
@ATTRIBUTE term150	REAL
@ATTRIBUTE term151	REAL
@ATTRIBUTE term152	REAL
@ATTRIBUTE term153	REAL
@ATTRIBUTE term154	REAL
@ATTRIBUTE term155	REAL
@ATTRIBUTE term156	REAL
@ATTRIBUTE term157	REAL
@ATTRIBUTE term158	REAL
@ATTRIBUTE term159	REAL
@ATTRIBUTE term160	REAL
@ATTRIBUTE term161	REAL
@ATTRIBUTE term162	REAL
@ATTRIBUTE term163	REAL
@ATTRIBUTE term164	REAL
@ATTRIBUTE term165	REAL
@ATTRIBUTE term166	REAL
@ATTRIBUTE term167	REAL
@ATTRIBUTE class	{ChaChaCha,Jive,Quickstep,Rumba,Samba,SlowWaltz,Tango,VienneseWaltz}

@DATA
3.782753,3.998548,3.178189,3.548578,2.850121,2.547787,2.424399,2.433488,1.842452,1.510034,1.580220,1.748911,2.265767,2.057200,2.063616,2.411330,2.300524,1.804557,1.549134,1.298873,0.939599,0.001610,0.001184,0.001066,3.665916,3.554606,1.784047,2.269103,2.210319,1.817189,2.227824,2.224833,1.733625,0.898601,1.190067,1.781137,3.285116,2.515240,1.765637,3.180356,2.409002,1.221352,0.903906,0.691819,0.359028,0.000108,0.000035,0.000000,0.387923,0.302372,0.569899,0.513247,0.742735,1.123821,1.358767,0.978072,1.755742,1.556345,1.451156,1.693625,1.395830,1.660055,1.539743,1.744545,1.431013,1.504139,1.366215,1.496255,1.919643,11.013992,5.307449,1.000000,4.201454,3.103795,3.725866,2.937178,3.358094,4.241949,5.147375,3.694466,7.403873,6.678631,6.056894,7.254774,5.144501,6.733439,7.637706,6.989483,5.656796,6.239510,5.108413,5.925611,9.184690,185.024649,102.590415,1.000000,4.022251,3.905866,3.039577,3.446501,2.632746,2.232326,2.029813,2.064566,1.463333,1.275394,1.308762,1.371914,1.766852,1.622384,1.787169,1.917388,1.900029,1.560213,1.320459,1.126727,0.828342,0.001066,0.001066,0.001066,0.283448,0.310978,0.495573,0.621494,0.367249,0.468350,0.374094,0.287751,0.291406,0.206366,0.200199,0.199852,0.226271,0.232204,0.286721,0.317124,0.339430,0.270571,0.167444,0.124558,0.122667,0.001066,0.001066,0.001066,9.507260,10.958265,8.214154,8.505152,7.948365,7.919404,8.737717,7.993365,7.328932,6.240946,6.434635,7.928947,9.670769,9.356521,8.591245,10.926901,9.069518,6.959882,5.495495,4.902660,3.798973,0.123230,0.060757,0.001066,ChaChaCha
3.689012,3.615310,2.658934,2.817324,2.086038,2.757600,2.592079,2.492299,2.541269,2.532851,2.675055,2.142078,2.864630,2.976788,3.721326,3.804062,3.815401,4.200125,3.102603,2.870482,2.241766,0.005332,0.001066,0.001066,5.675639,4.775736,1.637254,1.757538,1.452292,1.774234,1.965043,2.054534,2.189821,2.227032,2.404816,1.153517,2.406703,2.297203,3.784446,3.795630,3.966342,4.037060,1.731037,1.715655,1.304118,0.000156,0.000000,0.000000,0.656653,1.345931,1.115288,0.763401,1.054650,0.287299,0.625334,0.655340,0.912477,0.816037,1.088542,0.471139,0.408528,0.472180,0.542492,0.795817,0.918338,0.603679,0.525780,0.383169,0.925419,4.476171,1.000000,1.000000,2.271750,4.809591,5.225789,3.942015,5.137067,2.783098,2.914699,3.146057,3.868213,3.464080,4.647771,2.855976,2.478668,2.719336,2.741364,3.650755,4.082301,3.422369,3.289313,2.636766,3.597294,27.589856,1.000000,1.000000,2.984143,3.167436,2.500463,2.699629,1.912874,2.692678,2.381826,2.351045,2.314765,2.286998,2.357785,2.031765,2.677851,2.792639,3.354680,3.591736,3.468629,4.059456,2.991913,2.796570,2.071886,0.001066,0.001066,0.001066,0.241047,0.376191,0.175232,0.290082,0.093860,0.202912,0.198094,0.149053,0.154632,0.121916,0.320858,0.103348,0.161171,0.363733,0.468194,0.531210,0.614899,0.618076,0.543305,0.535035,0.508671,0.001066,0.001066,0.001066,9.914991,11.675794,8.656398,7.617450,7.390090,6.760864,7.138202,7.215243,7.848904,7.880381,9.423047,5.638104,7.616545,7.675191,9.741520,11.116107,12.196320,11.415808,7.834071,6.797948,6.108040,0.105640,0.001066,0.001066,ChaChaCha
2.764077,4.025009,3.415227,3.116661,3.102326,2.881521,2.849243,2.968257,2.494786,2.239260,2.222057,2.393093,2.830046,3.400003,3.559997,4.310827,4.114887,4.181800,3.490164,2.652102,1.910637,0.004268,0.001066,0.001066,2.173434,3.557446,1.686330,1.312414,1.965975,1.683202,2.073657,1.730965,1.248351,0.962843,0.764530,1.060776,1.221800,1.592145,1.877049,3.198303,3.184557,3.415403,2.509336,1.644351,0.961297,0.000152,0.000000,0.000000,1.336580,0.755598,0.195551,0.296843,0.273299,0.671524,1.372350,0.854374,0.719696,0.677668,0.514667,0.911552,0.647200,0.449351,0.541069,0.725322,0.824937,0.829066,0.948516,1.040727,1.021952,8.693685,1.000000,1.000000,6.554423,4.118133,2.926699,3.700404,2.515504,3.553161,6.101590,3.832994,3.660090,3.777931,3.401794,4.540714,3.837268,3.043064,3.093748,3.550708,4.124335,4.258334,4.682315,5.738840,4.714037,135.371823,1.000000,1.000000,2.613627,3.908380,3.410862,3.080029,3.020586,2.692196,2.569203,2.767332,2.385256,2.137638,2.138375,2.269905,2.728273,3.317014,3.440021,4.076908,3.893475,3.939706,3.246627,2.503124,1.775528,0.001066,0.001066,0.001066,0.375618,0.710682,0.695008,0.663937,0.424244,0.481928,0.530642,0.599923,0.284068,0.357238,0.483235,0.493737,0.552039,0.725549,0.733002,0.938073,0.588826,0.889032,0.784430,0.563524,0.322256,0.001066,0.001066,0.001066,7.595806,10.845289,7.409436,7.851030,7.072637,7.220229,9.986183,7.880236,6.614468,6.141728,5.425122,6.713488,7.535243,7.773801,8.143690,10.690887,10.659200,10.729164,9.434765,7.553292,5.835397,0.099033,0.001066,0.001066,ChaChaCha
3.468605,4.356290,3.910965,4.441621,3.357857,3.319598,3.818332,3.274035,3.231591,2.288918,3.713122,3.352819,4.993483,5.338337,5.436056,6.828180,6.106611,4.985344,3.378381,2.382447,1.640996,0.003432,0.001066,0.001066,4.628784,4.254219,2.603413,3.147795,3.169542,2.634859,3.191325,3.365764,2.124250,1.886492,3.347507,2.990360,4.695958,6.756011,5.720341,10.177380,7.656155,4.745260,2.000731,1.359227,0.830002,0.000103,0.000000,0.000000,0.281344,0.566344,-0.112319,0.356484,0.818097,0.791441,0.432321,1.109533,0.536682,1.458599,0.760823,0.986281,0.379195,0.603446,0.559937,0.849736,0.599280,0.595501,0.592842,1.004822,0.962997,7.230185,1.000000,1.000000,2.634079,3.455740,2.839206,3.320235,3.299051,3.343896,3.123065,3.948451,3.108445,5.378114,3.373758,4.143040,3.121664,3.169568,3.157601,3.864529,3.125101,3.114764,3.196338,4.106761,3.567539,73.831429,1.000000,1.000000,3.421790,4.205019,3.988746,4.419267,2.919207,2.943506,3.672958,2.814626,3.122706,1.909997,3.475112,2.961098,4.905092,5.074519,5.211734,6.426733,5.742802,4.692226,3.207893,2.130229,1.402064,0.001066,0.001066,0.001066,0.013210,0.502394,0.273593,0.624115,0.326486,0.420714,0.427319,0.513452,0.397648,0.327136,0.505836,0.430550,0.597930,0.638382,0.844672,1.202548,0.990745,0.830015,0.716879,0.432661,0.183759,0.001066,0.001066,0.001066,9.074126,11.468991,9.083640,10.996779,10.072375,8.575067,10.078001,10.092557,8.224516,8.194887,9.571914,10.241322,12.300663,14.397263,14.270745,18.460262,15.208944,12.396215,8.459976,6.777564,4.666994,0.101923,0.001066,0.001066,ChaChaCha
2.498618,3.591814,3.082785,3.142833,2.428758,2.684923,2.450609,3.066176,2.655413,2.538314,2.557693,2.643713,3.424062,3.575812,4.057162,4.141370,3.367659,3.382148,2.703926,2.147758,1.417816,0.001474,0.001066,0.001066,1.638958,2.981047,2.610776,2.373922,1.355408,1.703307,1.163540,1.520740,1.683170,1.959771,1.248718,2.027787,3.433592,4.456350,5.089093,5.266998,2.992694,3.245151,1.716596,0.967948,0.508084,0.000008,0.000000,0.000000,0.519622,0.800021,0.806987,0.628166,0.823823,0.595266,0.701266,0.369112,1.009991,0.862167,0.675045,0.850418,0.764130,0.932017,0.788092,0.857456,0.842141,0.831038,0.892109,0.666935,0.742123,9.539383,1.000000,1.000000,2.923023,3.944113,3.585319,2.974657,3.643633,3.162876,4.086030,2.746861,4.013811,3.350941,3.510755,3.336266,3.210475,3.493107,3.231980,3.381101,3.353498,3.278770,3.803665,3.257648,3.287866,117.458271,1.000000,1.000000,2.325743,3.372998,2.788822,2.819124,2.205850,2.505961,2.387168,2.953956,2.419273,2.228992,2.421334,2.315504,3.064288,3.053911,3.529592,3.617145,2.958268,2.971452,2.458624,2.000264,1.284332,0.001066,0.001066,0.001066,0.207411,0.579059,0.418813,0.401148,0.371014,0.349036,0.373570,0.603203,0.402634,0.277769,0.418021,0.274451,0.354218,0.386305,0.599102,0.644342,0.540361,0.489398,0.431405,0.273984,0.141551,0.001066,0.001066,0.001066,6.948589,10.701016,8.852142,8.208305,7.180173,7.470145,7.112540,6.926976,7.479254,7.520968,6.865852,7.685520,9.563485,10.695580,11.697120,12.403127,9.628860,8.941591,7.470261,5.435868,3.928464,0.033238,0.001066,0.001066,ChaChaCha
1.489925,2.441337,2.322377,2.786983,1.896316,2.240872,1.701773,2.143494,1.511689,1.525435,1.267901,1.256651,1.569039,1.554315,1.717407,1.879026,1.570374,1.502570,1.066742,0.737580,0.356108,0.001105,0.001066,0.001066,1.989744,3.687963,2.662233,3.078898,1.376144,1.727521,1.219142,1.498290,0.894817,0.794900,0.522131,0.558790,0.952415,1.137986,1.201534,1.674119,1.292659,1.344111,0.967311,0.668183,0.247451,0.000000,0.000000,0.000000,0.972219,0.893211,1.585377,1.096733,0.705086,0.652831,1.353649,0.711811,1.037676,0.671723,0.712770,0.914800,1.094960,1.355617,0.974281,1.527216,1.898544,1.880402,1.933312,2.287841,2.436066,18.661142,1.000000,1.000000,3.313981,3.299215,7.722953,5.078652,3.103588,3.135587,6.024796,3.899309,4.471334,3.866755,4.313510,4.541271,5.513048,5.831693,4.174155,5.869457,7.849618,7.638497,7.465797,8.975105,9.488567,371.021197,1.000000,1.000000,1.098711,2.002921,2.088070,2.481717,1.734088,2.075984,1.463724,1.988615,1.312315,1.425268,1.231730,1.174995,1.468893,1.361722,1.525024,1.543878,1.301627,1.203209,0.783964,0.485877,0.174482,0.001066,0.001066,0.001066,0.001066,0.052357,0.098245,0.178165,0.077514,0.118666,0.125744,0.165845,0.059805,0.088160,0.062678,0.050041,0.111859,0.115686,0.118403,0.188090,0.146674,0.102855,0.041740,0.013143,0.001066,0.001066,0.001066,0.001066,5.182530,9.099736,9.998247,10.225135,5.816890,6.519858,7.381747,7.341219,5.761673,4.698312,4.124948,4.509340,5.714335,6.899767,6.765080,8.113402,7.612475,7.400652,5.962776,4.999221,3.059363,0.012807,0.001066,0.001066,ChaChaCha
3.633061,5.263017,5.008363,3.639167,2.713848,2.983833,2.733109,2.160056,2.129275,2.484886,2.536849,2.736152,3.946089,4.744437,5.763842,5.819599,4.692290,5.063222,1.517648,0.001144,0.001119,0.001107,0.001076,0.001066,4.982804,7.501991,7.179580,3.492582,3.805767,3.441248,3.608430,1.632598,1.905298,2.467726,2.358796,2.887180,7.464515,9.056013,12.849762,12.547373,6.892271,8.604829,0.882586,0.000005,0.000003,0.000002,0.000000,0.000000,1.159326,1.100897,1.088331,0.989936,1.770158,0.918569,1.071798,0.911367,1.393025,1.402795,1.201212,1.004061,1.041990,0.804184,0.860928,1.161870,1.116666,0.909595,1.390432,17.713455,13.551309,13.685992,9.613766,1.000000,4.457292,4.542603,4.529972,4.678538,7.515258,3.838233,3.842787,3.867886,6.040661,6.006821,5.796302,4.316792,3.910049,3.179509,3.216965,4.484503,4.359422,3.430002,7.702689,389.102289,292.945597,297.812928,204.146410,1.000000,3.448590,4.857054,4.516866,3.422128,2.195663,2.644023,2.294444,1.939816,1.872811,2.205129,2.289344,2.421086,3.323545,4.248872,4.926203,5.042801,4.134591,4.430991,1.362062,0.001066,0.001066,0.001066,0.001066,0.001066,0.138824,0.864897,0.605316,0.408792,0.104691,0.246986,0.130802,0.144153,0.230767,0.273192,0.209973,0.263130,0.328263,0.459886,0.698717,0.790958,0.754832,0.852574,0.111766,0.001066,0.001066,0.001066,0.001066,0.001066,11.070220,15.454156,15.931238,11.660601,12.220255,10.584398,9.943030,6.953663,8.377114,9.335649,9.631897,9.051895,14.202730,14.715304,17.605734,19.366742,15.325124,15.179368,6.789858,0.035041,0.024243,0.019615,0.006043,0.001066,ChaChaCha
1.210434,2.848254,3.390520,3.121252,2.462488,2.646464,2.250144,2.258988,1.897029,1.483342,1.720520,1.902507,2.150060,1.781253,2.067521,2.960178,2.818758,2.176335,0.966387,0.754278,0.523960,0.001085,0.001066,0.001066,0.674983,1.785343,3.471046,2.552196,2.723074,2.350079,2.529786,2.024105,1.615060,1.175258,1.174028,1.596401,2.980459,1.321411,1.595837,5.103908,4.760580,2.040963,0.281813,0.262331,0.186761,0.000000,0.000000,0.000000,1.059372,0.534631,1.040535,1.246695,2.032627,1.160568,1.426913,1.373156,1.186965,1.646472,1.372607,0.983867,1.344222,1.325979,0.973030,1.044780,1.020991,1.017393,0.725666,1.245502,1.411880,7.699429,1.000000,1.000000,4.246127,3.165527,4.847230,7.025590,12.065259,5.174475,4.881969,5.508872,4.812969,6.827453,5.227700,3.580182,4.658948,5.465360,4.075751,3.549724,3.215475,3.868961,3.442184,5.543725,6.244460,134.358357,1.000000,1.000000,1.050437,2.659412,3.086736,2.902668,2.037282,2.377415,1.780753,1.949981,1.618785,1.198837,1.443229,1.580671,1.627391,1.554658,1.801516,2.217679,2.061369,1.862518,0.894285,0.670205,0.451892,0.001066,0.001066,0.001066,0.064320,0.356575,0.322657,0.382525,0.253248,0.302934,0.236527,0.151508,0.106864,0.060853,0.115490,0.161772,0.113444,0.148052,0.198977,0.305284,0.212903,0.289918,0.119214,0.055015,0.024145,0.001066,0.001066,0.001066,4.306076,7.429970,11.198573,11.178787,10.298463,9.692125,8.749959,8.298753,7.255183,6.712575,6.510350,6.170055,8.837196,6.849693,7.507623,10.300479,8.961220,7.367009,2.879723,3.136389,2.531284,0.006122,0.001066,0.001066,ChaChaCha
2.982045,5.076952,4.359843,3.761165,2.621884,3.200665,3.562553,2.909977,2.948622,2.822351,3.092599,3.059715,4.325433,4.581658,5.612656,5.773605,5.260105,4.536035,3.487798,2.430004,1.730480,0.002616,0.001066,0.001066,3.160480,4.264001,3.363063,2.548230,1.716211,2.184754,3.153331,2.025158,2.663836,2.413277,2.380685,2.854286,4.987253,6.363239,9.386595,8.468266,7.376723,5.030944,2.894438,1.304032,0.812351,0.000047,0.000000,0.000000,0.398053,0.322807,0.489500,0.733565,1.476524,0.913664,1.115714,1.089252,1.252602,1.357420,1.036696,1.344632,1.006085,1.057793,0.956757,0.863896,0.767996,0.901557,0.829960,0.562448,0.726394,6.843784,1.000000,1.000000,3.814462,3.142520,3.303449,3.707098,7.053553,4.201235,4.576412,4.660071,5.546220,5.550227,4.358245,5.784976,4.374006,4.356243,3.933196,3.869806,3.348861,4.483970,3.987034,3.131051,3.710010,61.058733,1.000000,1.000000,3.192807,5.104770,4.286237,3.588683,2.354644,2.918688,3.280137,2.666650,2.612774,2.446127,2.806487,2.700650,3.887071,3.946083,4.986333,5.368338,4.810905,4.284194,3.317005,2.357839,1.658149,0.001066,0.001066,0.001066,0.001066,0.459399,0.558952,0.629211,0.342352,0.552853,0.574121,0.448275,0.459398,0.433632,0.572396,0.452335,0.669231,0.729415,0.966947,0.963324,0.939466,0.869754,0.629423,0.385765,0.209143,0.001066,0.001066,0.001066,9.489425,12.217026,10.842218,10.020384,9.396658,9.374708,10.557589,8.813213,9.236181,9.230066,8.617072,10.130929,12.691545,14.005568,16.632917,17.324788,14.490173,13.935305,10.175797,6.349927,5.343596,0.066668,0.001066,0.001066,ChaChaCha
4.369666,6.864121,6.573301,5.906342,5.208943,4.820097,4.931162,4.906799,3.592841,3.965309,3.990289,3.649250,5.487827,5.422280,6.628114,6.935788,6.447596,5.478847,4.428697,3.094699,2.527607,1.893499,1.220202,0.223301,3.895047,5.411529,9.144447,6.307636,6.034158,4.860577,7.445851,6.481784,3.685879,4.634884,3.143391,3.305882,4.941519,5.040824,9.558313,7.939875,7.693611,5.347131,3.145904,1.742024,1.345118,0.864489,0.432476,0.033881,0.480903,0.118310,0.596533,0.513411,0.642065,0.522555,0.882500,0.743846,1.184066,1.044153,0.867450,0.679271,0.400793,0.609328,0.898072,0.215829,0.405039,0.404775,0.191307,0.203799,0.592553,1.023382,0.828860,0.857663,4.212346,3.567892,3.834532,3.577711,4.168078,3.252741,3.840075,3.584144,6.089962,4.571224,4.513576,3.437401,3.194913,3.578009,5.175651,3.154788,3.404241,3.640275,3.568996,3.129199,4.115486,5.310279,4.454037,3.750068,4.314314,6.915258,6.204213,5.791842,4.964520,4.741226,4.551681,4.483679,3.338771,3.573220,3.782324,3.384096,5.350165,5.194772,6.329878,6.908279,6.340419,5.481900,4.427605,2.962065,2.367829,1.730820,1.139563,0.192235,0.100110,0.595963,0.758421,0.974612,0.556013,0.684710,0.552586,0.576052,0.458891,0.252751,0.667120,0.347450,0.894266,1.039177,0.969007,0.987097,0.727462,0.824143,0.553786,0.286759,0.203739,0.186915,0.072223,0.001066,11.464572,14.832462,16.857791,15.279721,14.629375,12.363530,14.262047,13.491499,11.695526,11.499322,10.856939,9.743592,12.956842,13.409149,19.000356,15.991538,16.061431,13.617008,10.511410,7.410684,6.994310,5.910383,3.799011,0.857381,ChaChaCha
