@RELATION LMD.rh

@ATTRIBUTE term0	REAL
@ATTRIBUTE term1	REAL
@ATTRIBUTE term2	REAL
@ATTRIBUTE term3	REAL
@ATTRIBUTE term4	REAL
@ATTRIBUTE term5	REAL
@ATTRIBUTE term6	REAL
@ATTRIBUTE term7	REAL
@ATTRIBUTE term8	REAL
@ATTRIBUTE term9	REAL
@ATTRIBUTE term10	REAL
@ATTRIBUTE term11	REAL
@ATTRIBUTE term12	REAL
@ATTRIBUTE term13	REAL
@ATTRIBUTE term14	REAL
@ATTRIBUTE term15	REAL
@ATTRIBUTE term16	REAL
@ATTRIBUTE term17	REAL
@ATTRIBUTE term18	REAL
@ATTRIBUTE term19	REAL
@ATTRIBUTE term20	REAL
@ATTRIBUTE term21	REAL
@ATTRIBUTE term22	REAL
@ATTRIBUTE term23	REAL
@ATTRIBUTE term24	REAL
@ATTRIBUTE term25	REAL
@ATTRIBUTE term26	REAL
@ATTRIBUTE term27	REAL
@ATTRIBUTE term28	REAL
@ATTRIBUTE term29	REAL
@ATTRIBUTE term30	REAL
@ATTRIBUTE term31	REAL
@ATTRIBUTE term32	REAL
@ATTRIBUTE term33	REAL
@ATTRIBUTE term34	REAL
@ATTRIBUTE term35	REAL
@ATTRIBUTE term36	REAL
@ATTRIBUTE term37	REAL
@ATTRIBUTE term38	REAL
@ATTRIBUTE term39	REAL
@ATTRIBUTE term40	REAL
@ATTRIBUTE term41	REAL
@ATTRIBUTE term42	REAL
@ATTRIBUTE term43	REAL
@ATTRIBUTE term44	REAL
@ATTRIBUTE term45	REAL
@ATTRIBUTE term46	REAL
@ATTRIBUTE term47	REAL
@ATTRIBUTE term48	REAL
@ATTRIBUTE term49	REAL
@ATTRIBUTE term50	REAL
@ATTRIBUTE term51	REAL
@ATTRIBUTE term52	REAL
@ATTRIBUTE term53	REAL
@ATTRIBUTE term54	REAL
@ATTRIBUTE term55	REAL
@ATTRIBUTE term56	REAL
@ATTRIBUTE term57	REAL
@ATTRIBUTE term58	REAL
@ATTRIBUTE term59	REAL
@ATTRIBUTE class	{Axé,Bachata,Bolero,Forró,Gaúcha,Merengue,Pagode,Salsa,Sertaneja,Tango}

@DATA
11.824888,10.048316,9.086508,9.529945,6.984823,7.659267,6.106065,6.701605,5.985608,5.637919,5.559349,7.832983,5.989183,5.673126,5.479428,7.064263,5.749315,5.143480,4.813431,4.597483,4.093013,4.067895,6.968923,4.894062,3.622802,3.093408,4.166682,3.311918,4.514466,3.986017,14.773860,4.112289,3.475535,3.097284,3.460363,2.638533,2.786024,2.661801,2.706465,2.212876,2.220115,2.371490,2.456805,2.028097,2.218224,2.694364,2.531743,2.441021,2.234451,2.861798,1.833472,2.568167,2.170285,3.100864,2.637501,2.070542,1.813332,2.076822,2.037176,2.525522,Salsa
8.286676,7.448963,8.487709,7.378505,7.844905,5.734459,5.563273,5.800542,5.272027,6.764454,8.023161,5.279785,6.329415,4.727338,4.262324,6.208070,4.749533,5.613961,4.988375,4.803590,7.761964,3.898301,4.470475,4.630565,3.470314,3.819117,3.581751,3.488292,3.988162,3.690397,4.934607,5.601987,3.860354,3.347011,2.984552,2.967502,3.006331,2.627199,2.909595,3.273274,3.306643,9.687703,3.640460,2.728712,2.640134,2.721538,2.266060,2.372186,2.337876,2.306463,2.132192,2.344723,2.304465,2.369254,2.141146,2.001037,2.092653,1.878261,2.165598,2.605708,Salsa
12.929583,12.711694,8.188542,9.650745,7.891006,6.417827,7.248723,6.630066,8.245128,6.067160,5.500903,5.332947,7.231600,5.885007,6.363296,7.085071,4.979739,8.197801,4.129060,6.571457,4.587665,8.065649,4.661737,4.403045,3.677078,4.245166,5.500283,3.969182,3.458544,2.857631,4.399544,3.181478,3.557544,4.316983,10.473907,9.216992,3.994300,3.707662,2.628218,2.872115,2.668989,2.510726,2.164341,2.593394,2.387061,2.240208,2.435965,2.313011,2.869491,2.176380,2.598382,2.226913,2.563879,2.415260,2.218225,2.331451,2.329180,2.940199,2.197676,2.406120,Salsa
16.692557,16.699940,11.941142,13.565645,9.901529,8.337177,8.757352,9.389502,7.179866,7.007577,8.401020,6.568272,6.426218,6.044499,8.269275,6.558174,6.595254,5.408307,7.126022,4.773228,5.896246,5.264103,6.872766,4.723917,5.065017,5.083114,4.389688,4.962593,5.202369,9.487126,5.243272,4.227185,3.980291,3.625306,3.434336,3.573076,3.414514,3.847129,3.304628,3.025429,3.239647,3.216692,2.773715,3.149859,3.308172,3.042353,2.994209,2.907538,2.917379,2.724379,2.701993,2.867250,3.190959,2.528928,2.749504,2.566876,2.692715,2.779363,2.977471,4.284064,Salsa
16.750924,16.214538,12.930671,10.540790,11.771114,9.607148,10.148965,8.005863,10.591821,9.772375,6.957630,8.277668,6.937427,8.451498,6.682044,6.494570,6.726408,6.449475,7.638736,5.122094,6.105953,4.790136,6.230112,6.117497,4.119502,5.219546,4.902775,6.789028,4.742415,4.586870,4.407107,3.602779,4.363965,3.859037,4.432725,5.037418,6.254402,12.517212,4.481915,3.735216,3.583204,3.483625,3.326793,3.052484,2.769477,2.904888,3.872878,2.783295,3.002659,2.899037,2.646303,3.038002,2.628450,2.903659,2.530773,2.694160,3.048476,2.601331,2.759931,2.528815,Salsa
13.909130,12.863755,14.522145,9.653993,11.965789,9.168848,9.273685,9.743340,6.889483,8.416184,11.925059,7.289289,10.908767,7.881500,8.561816,7.891455,6.506087,6.935171,6.959373,5.880057,6.714428,5.796775,5.702828,6.767736,7.882153,20.133566,7.192508,4.280986,4.779842,4.075911,4.174810,5.362823,3.463229,3.358180,3.549359,3.341498,4.003249,3.699653,5.047728,4.010174,2.749441,3.291766,2.890300,2.895042,4.172794,2.341687,3.287446,3.039235,3.159236,3.972824,7.426441,7.346177,3.744311,2.706036,3.188645,2.811778,2.265931,2.883232,2.246295,2.237389,Salsa
11.846566,8.413164,6.541314,7.533826,6.370900,4.756841,5.662915,5.332415,7.520655,4.439897,4.781929,4.560794,5.231524,4.537015,4.326467,3.920138,3.932146,4.463415,4.054340,3.606414,3.369727,3.832293,3.360636,2.958778,3.170595,3.084959,3.764346,2.226800,2.533372,2.502894,2.797253,2.499562,2.528850,2.500282,3.582565,9.476770,2.880796,2.145284,2.164927,2.122354,1.805107,1.824706,2.015948,2.061159,2.189070,1.716959,1.857431,1.550625,1.947644,1.644690,1.842190,1.577436,1.773988,1.686947,1.655241,1.567565,1.549171,1.692498,1.511532,1.524922,Salsa
13.268330,14.550915,11.878829,9.557942,12.977712,9.587939,7.945688,8.497174,7.658317,8.692337,7.366579,7.453156,7.252509,7.592945,8.105517,5.685307,8.309494,6.203499,6.469159,5.909004,6.856362,6.761680,5.854028,5.937935,5.195924,5.450923,4.792097,5.040058,6.106446,5.531793,4.080154,3.820054,4.307618,4.300270,4.556626,5.065490,4.449402,6.893812,7.214708,5.427573,4.592265,3.577703,3.551050,3.597031,3.061614,3.350042,2.768163,3.191683,2.774957,2.953265,2.633818,2.860140,2.901483,2.789977,2.866781,2.571211,2.340253,2.848915,2.829344,2.663837,Salsa
12.944781,12.128786,10.690073,9.379470,10.797912,6.310474,6.721821,7.108212,8.684924,6.536607,6.513311,6.660879,7.715203,5.656902,6.851217,5.448005,5.011464,5.504102,5.429674,5.278829,4.813860,6.254317,3.857841,5.193782,4.396702,4.561486,4.436764,4.118812,2.990562,3.728180,4.329257,3.801237,3.495089,4.116414,9.893672,4.304340,4.181311,3.067170,3.247636,3.253008,2.829702,2.666182,2.850514,3.078664,2.422797,2.515452,2.359078,2.647317,2.036526,2.083490,2.253266,2.431702,2.460541,2.056637,2.249548,2.107105,2.498330,2.216195,2.021138,2.065288,Salsa
10.615544,8.788275,6.646537,9.142154,7.673000,6.939286,6.337941,5.966003,7.575321,5.121226,5.526438,5.621963,4.808322,5.760283,4.088447,3.927893,4.123219,4.169352,4.777215,4.527882,5.561695,3.830500,5.518591,3.855538,3.288944,3.970370,4.409005,6.650091,3.054103,2.899043,2.511198,3.106208,2.564779,2.714286,2.720474,3.364740,7.740618,2.684240,2.455182,2.303374,2.197254,1.854275,1.996898,1.799173,1.876643,2.042917,1.917693,2.151906,1.739537,1.713665,1.946184,1.699085,1.934540,1.699863,1.910885,1.930289,1.819297,1.737260,1.699706,1.682601,Salsa
